ID,Date,Line Type,Amount,Currency,Payment reference,Description,Processor ID,Payout,Order ID
ad-S9QMH5VBFF3KGX62,2023-07-20 20:26:14,CREDIT,17.19,CAD,S9QMH5VBFF3KGX62,,S9QMH5VBFF3KGX62,2710101971532977,60143
ad-fe-S9QMH5VBFF3KGX62,2023-07-20 20:26:14,FEE,-0.1,CAD,S9QMH5VBFF3KGX62,,fe-S9QMH5VBFF3KGX62,2710101971532977,60143
ad-C8V8T4L6HGMCKMG2,2023-07-20 20:27:29,CREDIT,10.2,CAD,C8V8T4L6HGMCKMG2,,C8V8T4L6HGMCKMG2,2710101971532977,60144
ad-fe-C8V8T4L6HGMCKMG2,2023-07-20 20:27:29,FEE,-0.28,CAD,C8V8T4L6HGMCKMG2,,fe-C8V8T4L6HGMCKMG2,2710101971532977,60144
ad-TBRMLWRCWS7WTM42,2023-07-20 20:29:30,CREDIT,12.42,CAD,TBRMLWRCWS7WTM42,,TBRMLWRCWS7WTM42,2710101971532977,60147
ad-fe-TBRMLWRCWS7WTM42,2023-07-20 20:29:30,FEE,-0.32,CAD,TBRMLWRCWS7WTM42,,fe-TBRMLWRCWS7WTM42,2710101971532977,60147
ad-CXBJBN6LG8FVMM42,2023-07-20 20:30:35,CREDIT,13.22,CAD,CXBJBN6LG8FVMM42,,CXBJBN6LG8FVMM42,2710101971532977,60148
ad-fe-CXBJBN6LG8FVMM42,2023-07-20 20:30:35,FEE,-0.34,CAD,CXBJBN6LG8FVMM42,,fe-CXBJBN6LG8FVMM42,2710101971532977,60148
ad-KD2ZHGX9XZPWTM42,2023-07-20 20:31:08,CREDIT,13.22,CAD,KD2ZHGX9XZPWTM42,,KD2ZHGX9XZPWTM42,2710101971532977,60146
ad-fe-KD2ZHGX9XZPWTM42,2023-07-20 20:31:08,FEE,-0.34,CAD,KD2ZHGX9XZPWTM42,,fe-KD2ZHGX9XZPWTM42,2710101971532977,60146
ad-F9L9X8WF5Z472Q42,2023-07-20 20:31:57,CREDIT,11.9,CAD,F9L9X8WF5Z472Q42,,F9L9X8WF5Z472Q42,2710101971532977,60150
ad-fe-F9L9X8WF5Z472Q42,2023-07-20 20:31:57,FEE,-0.1,CAD,F9L9X8WF5Z472Q42,,fe-F9L9X8WF5Z472Q42,2710101971532977,60150
ad-XGXPMV8V8Q8RBV42,2023-07-20 20:34:40,CREDIT,14.54,CAD,XGXPMV8V8Q8RBV42,,XGXPMV8V8Q8RBV42,2710101971532977,60149
ad-fe-XGXPMV8V8Q8RBV42,2023-07-20 20:34:40,FEE,-0.1,CAD,XGXPMV8V8Q8RBV42,,fe-XGXPMV8V8Q8RBV42,2710101971532977,60149
ad-ZBTKSMM4S5GQ4V42,2023-07-20 20:36:42,CREDIT,14.92,CAD,ZBTKSMM4S5GQ4V42,,ZBTKSMM4S5GQ4V42,2710101971532977,60152
ad-fe-ZBTKSMM4S5GQ4V42,2023-07-20 20:36:42,FEE,-0.1,CAD,ZBTKSMM4S5GQ4V42,,fe-ZBTKSMM4S5GQ4V42,2710101971532977,60152
ad-Z74NTQSMZ8P3MKG2,2023-07-20 20:36:45,CREDIT,14.92,CAD,Z74NTQSMZ8P3MKG2,,Z74NTQSMZ8P3MKG2,2710101971532977,60151
ad-fe-Z74NTQSMZ8P3MKG2,2023-07-20 20:36:45,FEE,-0.1,CAD,Z74NTQSMZ8P3MKG2,,fe-Z74NTQSMZ8P3MKG2,2710101971532977,60151
ad-BLFNN94TDX684V62,2023-07-20 20:38:54,CREDIT,21.71,CAD,BLFNN94TDX684V62,,BLFNN94TDX684V62,2710101971532977,60153
ad-fe-BLFNN94TDX684V62,2023-07-20 20:38:54,FEE,-0.1,CAD,BLFNN94TDX684V62,,fe-BLFNN94TDX684V62,2710101971532977,60153
ad-HCQQ7PM4S5GQ4V42,2023-07-20 20:39:34,CREDIT,10.58,CAD,HCQQ7PM4S5GQ4V42,,HCQQ7PM4S5GQ4V42,2710101971532977,60155
ad-fe-HCQQ7PM4S5GQ4V42,2023-07-20 20:39:34,FEE,-0.1,CAD,HCQQ7PM4S5GQ4V42,,fe-HCQQ7PM4S5GQ4V42,2710101971532977,60155
ad-R6PBHNCB25H6SP42,2023-07-20 20:42:51,CREDIT,9.25,CAD,R6PBHNCB25H6SP42,,R6PBHNCB25H6SP42,2710101971532977,60156
ad-fe-R6PBHNCB25H6SP42,2023-07-20 20:42:51,FEE,-0.27,CAD,R6PBHNCB25H6SP42,,fe-R6PBHNCB25H6SP42,2710101971532977,60156
ad-JWM4TG52JVR72Q42,2023-07-20 20:43:43,CREDIT,43.24,CAD,JWM4TG52JVR72Q42,,JWM4TG52JVR72Q42,2710101971532977,60157
ad-fe-JWM4TG52JVR72Q42,2023-07-20 20:43:43,FEE,-0.88,CAD,JWM4TG52JVR72Q42,,fe-JWM4TG52JVR72Q42,2710101971532977,60157
ad-DTJPXG4TDX684V62,2023-07-20 20:49:44,CREDIT,19.32,CAD,DTJPXG4TDX684V62,,DTJPXG4TDX684V62,2710101971532977,60159
ad-fe-DTJPXG4TDX684V62,2023-07-20 20:49:44,FEE,-0.1,CAD,DTJPXG4TDX684V62,,fe-DTJPXG4TDX684V62,2710101971532977,60159
ad-FDDSCRPLTJZ8BV62,2023-07-20 20:50:55,CREDIT,10.58,CAD,FDDSCRPLTJZ8BV62,,FDDSCRPLTJZ8BV62,2710101971532977,60160
ad-fe-FDDSCRPLTJZ8BV62,2023-07-20 20:50:55,FEE,-0.1,CAD,FDDSCRPLTJZ8BV62,,fe-FDDSCRPLTJZ8BV62,2710101971532977,60160
ad-TZ4SS89JVD33FKG2,2023-07-20 20:52:38,CREDIT,27.14,CAD,TZ4SS89JVD33FKG2,,TZ4SS89JVD33FKG2,2710101971532977,60158
